"long","lat","CTPRV_NM","SGNG_NM","X2019.05","X2019.06","X2019.07","X2019.08","X2019.09","X2019.10","X2019.11","X2019.12","X2020.01","X2020.02","X2020.03","X2020.04","X2020.05","X2020.06","X2020.07","X2020.08","X2020.09","X2020.10","X2020.11","X2020.12","X2021.01","X2021.02","X2021.03","X2021.04","X2021.05","X2021.06","X2021.07","X2021.08","X2021.09","X2021.10","X2021.11","X2021.12","X2022.01","X2022.02","X2022.03","X2022.04","X2022.05","X2022.06","X2022.07","X2022.08","X2022.09","X2022.10","X2022.11"
127.426143221919,37.7744650030553,"경기도","가평",22,13,8,10,6,10,16,24,24,23,19,16,14,18,9,11,9,16,22,29,22,28,26,16,17,15,11,10,7,13,26,23,31,27,21,20,17,13,11,10,9,12,21
128.855660060357,37.7077458761899,"강원도","강릉",21,16,14,12,10,13,19,17,14,19,16,15,12,18,8,11,11,14,19,24,12,17,16,13,14,10,9,6,5,8,14,11,15,16,19,15,14,9,7,11,10,14,19
126.771115453912,34.5772003347437,"전라남도","강진",21,19,15,18,14,14,16,18,22,20,15,16,15,15,9,20,14,15,16,19,17,21,20,15,17,16,12,12,9,12,14,16,17,18,14,13,14,12,15,11,8,11,13
128.613502805413,34.8867543842112,"경상남도","거제",24,20,11,17,10,12,15,14,18,23,18,15,17,18,13,19,12,13,14,16,15,16,18,13,14,13,9,13,9,12,15,15,19,17,18,13,15,8,11,8,9,10,16
127.915269064804,35.7170203094803,"경상남도","거창",17,17,12,13,9,12,21,25,25,23,20,18,18,19,10,13,13,20,26,22,19,20,20,14,14,20,15,14,12,17,22,20,22,19,18,13,10,11,12,7,9,12,23
128.808962333482,35.8604163461616,"경상북도","경산",21,21,16,19,14,15,22,32,28,28,21,19,21,21,15,19,15,17,23,31,28,26,22,18,19,22,12,12,11,14,22,22,25,23,23,17,16,13,14,12,12,12,24
129.311654288082,35.7906754379502,"경상북도","경주",22,19,15,15,10,13,17,19,24,23,18,17,16,16,10,16,12,16,19,21,19,22,22,18,18,18,12,11,8,13,20,19,20,20,21,17,18,12,13,11,10,12,19
127.241990428775,36.2776908402965,"충청남도","계룡",25,19,14,15,11,14,20,26,28,25,23,20,17,18,9,12,11,16,19,24,20,24,26,20,18,17,11,10,7,13,19,21,26,25,22,19,16,11,13,8,10,14,21
128.280853214404,35.7314279856756,"경상북도","고령",20,17,15,15,12,11,16,20,20,20,16,17,19,20,14,19,13,14,17,18,16,19,19,14,14,20,16,17,15,20,19,18,20,17,20,15,17,15,14,7,8,11,19
128.359161608238,38.5133181571618,"강원도","고성",19,13,12,13,8,11,13,19,15,19,16,15,10,14,7,8,8,13,15,19,15,21,17,15,13,11,11,10,6,9,16,15,20,21,18,18,15,11,9,8,7,8,16
128.308214447742,34.9818272994464,"경상남도","고성",16,16,11,14,11,11,14,16,16,17,12,12,14,12,8,12,10,12,13,17,19,21,21,15,18,13,10,10,9,14,18,18,23,18,18,14,15,9,11,7,9,9,16
126.8055396793,37.6780660600255,"경기도","고양",30,19,21,16,11,15,21,27,27,24,22,19,20,22,16,15,12,17,23,24,19,27,32,18,22,22,17,14,8,14,28,21,27,24,20,21,17,15,18,11,12,15,25
126.625315244178,35.4627211592561,"전라북도","고창",23,21,17,16,15,15,14,17,25,20,18,16,18,20,13,16,15,17,19,18,19,24,29,16,21,20,12,11,9,13,19,19,22,21,18,17,15,11,12,8,11,15,23
127.326349879598,34.5615249101401,"전라남도","고흥",20,19,12,15,12,12,15,16,18,17,13,14,14,11,8,15,12,13,12,14,14,16,15,11,14,12,10,11,9,13,16,19,24,24,19,15,17,11,9,8,10,10,15
127.267481721254,35.2037436475222,"전라남도","곡성",21,20,13,16,12,14,20,20,20,18,14,16,15,15,9,14,12,14,16,16,15,17,17,13,15,16,10,10,8,14,17,21,32,20,16,15,16,12,13,9,11,14,22
127.068722096028,36.4502900225589,"충청남도","공주",27,25,14,9,8,18,25,32,32,29,25,20,19,21,11,12,12,20,25,30,26,30,32,21,23,22,12,12,8,17,27,27,31,30,27,23,19,13,14,9,12,17,28
127.005619851877,37.433848717419,"경기도","과천",23,14,14,13,9,13,18,27,27,27,24,19,15,18,11,12,9,16,22,26,20,29,31,16,17,18,14,11,6,11,22,23,28,25,22,21,16,11,14,10,11,15,21
126.860711037832,37.450802846772,"경기도","광명",26,17,17,16,13,17,23,32,32,31,27,21,18,21,13,14,11,19,26,30,25,35,39,18,21,19,15,13,8,15,29,27,33,29,25,23,17,12,15,10,13,18,26
127.661147843581,34.9783246158525,"전라남도","광양",19,20,13,15,11,11,14,16,17,16,12,12,13,13,11,17,10,13,15,19,18,21,20,15,18,16,11,10,9,12,16,15,18,17,18,15,16,13,13,9,9,10,17
126.859765251249,35.143185208671,"광주광역시","광주광역시",22,25,17,17,15,18,20,22,27,21,18,17,18,18,9,14,13,17,20,24,22,25,27,18,20,18,10,10,8,15,21,23,23,24,21,17,16,12,12,9,12,14,21
127.270740061104,37.3998547670491,"경기도","광주시",28,16,13,12,9,14,22,34,31,33,29,23,18,22,12,13,10,19,28,33,26,33,34,20,19,19,13,12,8,14,28,26,33,30,26,23,17,13,14,10,11,15,25
127.811594660144,36.7725263320379,"충청북도","괴산",23,21,12,19,13,22,33,33,32,29,27,24,18,19,10,11,12,19,24,30,24,27,26,19,21,19,11,11,10,18,28,27,32,29,27,20,17,14,14,11,11,16,29
127.498308188074,35.2134523432831,"전라남도","구례",21,20,13,14,11,13,21,24,26,22,18,17,19,16,11,19,17,14,18,21,20,23,24,17,21,19,11,9,9,16,15,15,17,15,14,12,12,9,9,5,7,8,14
